word,ipa
ahli,/ˈahli/
ahli bahasa,/ˌahli baˈhasa/
ahli bahasa,[ˌah.li baˈha.sa]
ahli futurologi,/ˌah.li fu.tu.roˈlo.ɡi/
ahli futurologi,[ˌah.li fu.t̪u.roˈlo.ɡi]
ahli gigi,/ˌah.li ˈɡi.ɡi/
ahli gigi,[ˌah.li ˈɡi.ɡi]
ahli madya,/ˈahli ˈma.dja/
ahli muda,/ˈahli ˈmuda/
ahli pertama,/ˈahli pərˈtama/
ahli statistik,[ˈahli staˈtɪstɪk̚]
ahli suluk,/ˌahli ˈsuluk/
ahli suluk,[ˌah.li ˈsu.lʊk̚]
ahuh,/ˈahʊh/
ahuneyo,/ahuˈnejo/
ahuneyo,[a.huˈne.jo]
ahutu,/aˈhutu/
ai,/ˈa.i/
ai,/ˈai̯/
ai,[ˈa.i]
ai,[ˈai̯]
aib,/aʲib/
aikido,/ai̯.ki.do/
aikido,/aʲi.ki.do/
aileron,[ai̯.ləˈrɔn]
aipki,/aˈip.ki/
aipki,[aˈip̚.ki]
air,/ˈair/
air,[ˈa.ɪr]
